7zip 24.09+dfsg-8
libwireplumber-0.5-0:amd64 0.5.8-2
libwmf-0.2-7:amd64 0.2.13-1.1+b3
libwmflite-0.2-7:amd64 0.2.13-1.1+b3
libwnck-3-0:amd64 43.2-1
libwnck-3-common 43.2-1
libwoff1:amd64 1.0.2-2+b2
libwpd-0.10-10:amd64 0.10.3-2+b2
libwpg-0.3-3:amd64 0.3.4-3+b2
libwps-0.4-4:amd64 0.4.14-2+b2
libwrap0:amd64 7.6.q-36
libwtmpdb0:amd64 0.73.0-3
libwww-perl 6.78-1
libwww-robotrules-perl 6.02-1
libwxbase3.2-1t64:amd64 3.2.8+dfsg-2
libwxgtk3.2-1t64:amd64 3.2.8+dfsg-2
libx11-6:amd64 2:1.8.12-1
libx11-data 2:1.8.12-1
libx11-protocol-perl 0.56-9
libx11-xcb1:amd64 2:1.8.12-1
libx264-164:amd64 2:0.164.3108+git31e19f9-2+b1
libx265-215:amd64 4.1-2
libxapian30:amd64 1.4.29-3
libxatracker2:amd64 25.0.7-2
libxau6:amd64 1:1.0.11-1
libxaw7:amd64 2:1.0.16-1
libxcb-cursor0:amd64 0.1.5-1
libxcb-damage0:amd64 1.17.0-2+b1
libxcb-dri2-0:amd64 1.17.0-2+b1
libxcb-dri3-0:amd64 1.17.0-2+b1
libxcb-ewmh2:amd64 0.4.2-1
libxcb-glx0:amd64 1.17.0-2+b1
libxcb-icccm4:amd64 0.4.2-1
libxcb-image0:amd64 0.4.0-2+b2
libxcb-imdkit1:amd64 1.0.9-1+b1
libxcb-keysyms1:amd64 0.4.1-1
libxcb-present0:amd64 1.17.0-2+b1
libxcb-randr0:amd64 1.17.0-2+b1
libxcb-render-util0:amd64 0.3.10-1
libxcb-render0:amd64 1.17.0-2+b1
libxcb-res0:amd64 1.17.0-2+b1
libxcb-shape0:amd64 1.17.0-2+b1
libxcb-shm0:amd64 1.17.0-2+b1
libxcb-sync1:amd64 1.17.0-2+b1
libxcb-util1:amd64 0.4.1-1
libxcb-xfixes0:amd64 1.17.0-2+b1
libxcb-xinerama0:amd64 1.17.0-2+b1
libxcb-xinput0:amd64 1.17.0-2+b1
libxcb-xkb1:amd64 1.17.0-2+b1
libxcb1:amd64 1.17.0-2+b1
libxcomposite1:amd64 1:0.4.6-1
libxcursor1:amd64 1:1.2.3-1
libxcvt0:amd64 0.1.3-1
libxdamage1:amd64 1:1.1.6-1+b2
libxdmcp6:amd64 1:1.1.5-1
libxext6:amd64 2:1.3.4-1+b3
libxfixes3:amd64 1:6.0.0-2+b4
libxfont2:amd64 1:2.0.6-1+b3
libxft2:amd64 2.3.6-1+b4
libxi6:amd64 2:1.8.2-1
libxinerama1:amd64 2:1.1.4-3+b4
libxkbcommon-x11-0:amd64 1.7.0-2
libxkbcommon0:amd64 1.7.0-2
libxkbfile1:amd64 1:1.1.0-1+b4
libxklavier16:amd64 5.4-5+b2
libxm4:amd64 2.3.8-4
libxml++2.6-2v5:amd64 2.42.3-2
libxml-parser-perl 2.47-1+b3
libxml-twig-perl 1:3.52-3
libxml-xpathengine-perl 0.14-2
libxml2:amd64 2.12.7+dfsg+really2.9.14-2.1
libxml2-dev:amd64 2.12.7+dfsg+really2.9.14-2.1
libxmlb2:amd64 0.3.22-1
libxmlsec1t64:amd64 1.2.41-1+b1
libxmlsec1t64-nss:amd64 1.2.41-1+b1
libxmu6:amd64 2:1.1.3-3+b4
libxmuu1:amd64 2:1.1.3-3+b4
libxnnpack0.20241108:amd64 0.0~git20241108.4ea82e5-2
libxpm4:amd64 1:3.5.17-1+b3
libxpresent1:amd64 1.0.1-1+b2
libxrandr2:amd64 2:1.5.4-1+b3
libxrender1:amd64 1:0.9.12-1
libxres1:amd64 2:1.2.1-1+b2
libxshmfence1:amd64 1.3.3-1
libxslt1.1:amd64 1.1.35-1.2
libxss1:amd64 1:1.2.3-1+b3
libxstring-perl:amd64 0.005-2+b4
libxt6t64:amd64 1:1.2.1-1.2+b2
libxtables12:amd64 1.8.11-2
libxtst6:amd64 2:1.2.5-1
libxv1:amd64 2:1.0.11-1.1+b3
libxvidcore4:amd64 2:1.3.7-1+b2
libxvmc1:amd64 2:1.0.12-2+b3
libxxf86dga1:amd64 2:1.1.5-1+b3
libxxf86vm1:amd64 1:1.1.4-1+b4
libxxhash0:amd64 0.8.3-2
libyajl2:amd64 2.1.0-5+b2
libyaml-0-2:amd64 0.2.5-2
libyelp0:amd64 42.2-4
libyuv0:amd64 0.0.1904.20250204-1
libz3-4:amd64 4.13.3-1
libz3-dev:amd64 4.13.3-1
libzbar0t64:amd64 0.23.93-8
libzim9:amd64 9.2.3-1.1+b1
libzimg2:amd64 3.0.5+ds1-1+b2
libzix-0-0:amd64 0.6.2-1
libzmf-0.0-0:amd64 0.0.2-1+b9
libzmq5:amd64 4.3.5-1+b3
libzstd-dev:amd64 1.5.7+dfsg-1
libzstd1:amd64 1.5.7+dfsg-1
libzvbi-common 0.2.44-1
libzvbi0t64:amd64 0.2.44-1
libzxcvbn0:amd64 2.5+dfsg-2+b2
libzxing3:amd64 2.3.0-4
libzzip-0-13t64:amd64 0.13.78+dfsg.1-0.1
lightdm 1.32.0-6+b2
lightdm-gtk-greeter 2.0.9-1
linux-base 4.12
linux-headers-6.12.38+deb13-amd64 6.12.38-1
linux-headers-6.12.38+deb13-common 6.12.38-1
linux-image-6.12.38+deb13-amd64 6.12.38-1
linux-image-amd64 6.12.38-1
linux-kbuild-6.12.38+deb13 6.12.38-1
linux-libc-dev 6.12.38-1
linux-sysctl-defaults 4.12
llvm 1:19.0-63
llvm-19 1:19.1.7-3+b1
llvm-19-dev 1:19.1.7-3+b1
llvm-19-linker-tools 1:19.1.7-3+b1
llvm-19-runtime 1:19.1.7-3+b1
llvm-19-tools 1:19.1.7-3+b1
llvm-runtime:amd64 1:19.0-63
lmodern 2.005-1
locales 2.41-12
login 1:4.16.0-2+really2.41-5
login.defs 1:4.17.4-2
logrotate 3.22.0-1
logsave 1.47.2-3+b3
lsb-release 12.1-1
lsof 4.99.4+dfsg-2
lsscsi 0.32-2
luit 2.0.20240910-1
lynx 2.9.2-1
lynx-common 2.9.2-1
m4 1.4.19-8
mailcap 3.74
make 4.4.1-2
man-db 2.13.1-1
manpages 6.9.1-1
manpages-dev 6.9.1-1
manpages-zh 1.6.4.3-1
marco 1.26.2-4.1
marco-common 1.26.2-4.1
mate-applet-brisk-menu 0.6.2-2+b1
mate-applets 1.26.1-3.1
mate-applets-common 1.26.1-3.1
mate-backgrounds 1.26.0-1
mate-calc 1.26.0-1+b1
mate-calc-common 1.26.0-1
mate-control-center 1.26.1-1.1+b4
mate-control-center-common 1.26.1-1.1
mate-desktop 1.26.2-1.2
mate-desktop-common 1.26.2-1.2
mate-desktop-environment 1.26.0+2
mate-desktop-environment-core 1.26.0+2
mate-icon-theme 1.26.0-1
mate-indicator-applet 1.26.0-1+b1
mate-indicator-applet-common 1.26.0-1
mate-media 1.26.2-1+b3
mate-media-common 1.26.2-1
mate-menus 1.26.1-1
mate-notification-daemon 1.26.1-1+b3
mate-notification-daemon-common 1.26.1-1
mate-panel 1.27.1-4.1
mate-panel-common 1.27.1-4.1
mate-polkit 1.26.1-4+b1
mate-polkit-common 1.26.1-4
mate-power-manager 1.26.1-1.1
mate-power-manager-common 1.26.1-1.1
mate-screensaver 1.26.2-1+b1
mate-screensaver-common 1.26.2-1
mate-session-manager 1.26.1-2+b1
mate-settings-daemon 1.26.1-1.2
mate-settings-daemon-common 1.26.1-1.2
mate-system-monitor 1.26.3-1+b1
mate-system-monitor-common 1.26.3-1
mate-terminal 1.26.1-1+b1
mate-terminal-common 1.26.1-1
mate-themes 3.22.26-1
mate-user-guide 1.26.2-1
mate-utils 1.26.1-1+b3
mate-utils-common 1.26.1-1
matekbd-keyboard-display 23.11.1-1+b1
mawk 1.3.4.20250131-1
media-types 13.0.0
mesa-libgallium:amd64 25.0.7-2
mesa-va-drivers:amd64 25.0.7-2
mesa-vdpau-drivers:amd64 25.0.7-2
mesa-vulkan-drivers:amd64 25.0.7-2
mobile-broadband-provider-info 20250613-2
modemmanager 1.24.0-1
mount 2.41-5
mupdf-tools 1.25.1+ds1-6
mythes-en-us 1:25.2.3-1
nano 8.4-1
nasm 2.16.03-1
ncurses-base 6.5+20250216-2
ncurses-bin 6.5+20250216-2
ncurses-term 6.5+20250216-2
nedit 1:5.7-5+b1
netbase 6.5
netcat-traditional 1.10-50
netfilter-persistent 1.0.23
network-manager 1.52.1-1
network-manager-applet 1.36.0-3+b1
network-manager-gnome 1.36.0-3+b1
network-manager-l10n 1.52.1-1
nftables 1.1.3-1
nm-connection-editor 1.36.0-3+b1
node-clipboard 2.0.11+ds+~cs9.6.11-1
node-normalize.css 8.0.1-5
node-prismjs 1.29.0+dfsg+~1.26.0-1
ntfs-3g 1:2022.10.3-5
ocl-icd-libopencl1:amd64 2.3.3-1
opencc 1.1.9+ds1-1+b1
openjdk-21-jre:amd64 21.0.8+9-1
openjdk-21-jre-headless:amd64 21.0.8+9-1
openssh-client 1:10.0p1-7
openssh-server 1:10.0p1-7
openssh-sftp-server 1:10.0p1-7
openssl 3.5.1-1
openssl-provider-legacy 3.5.1-1
orca 48.1-1
os-prober 1.83
ovmf 2025.02-8
p11-kit 0.25.5-3
p11-kit-modules:amd64 0.25.5-3
pahole 1.30-1
parted 3.6-5
passwd 1:4.17.4-2
patch 2.8-2
pci.ids 0.0~2025.06.09-1
pciutils 1:3.13.0-2
perl 5.40.1-6
perl-base 5.40.1-6
perl-modules-5.40 5.40.1-6
perl-openssl-defaults:amd64 7+b2
perl-tk 1:804.036+dfsg1-5
pigz 2.8-1
pinentry-curses 1.3.1-2
pinentry-gnome3 1.3.1-2
pipewire:amd64 1.4.2-1
pipewire-alsa:amd64 1.4.2-1
pipewire-audio 1.4.2-1
pipewire-bin 1.4.2-1
pipewire-pulse 1.4.2-1
pkexec 126-2
pluma 1.26.1-2.1
pluma-common 1.26.1-2.1
plymouth 24.004.60-5
plymouth-label 24.004.60-5
pocketsphinx-en-us 0.8+5prealpha+1-15
polkitd 126-2
poppler-data 0.4.12-1
poppler-utils 25.03.0-5
powertop 2.15-4
ppp 2.5.2-1+1
preview-latex-style 13.2-1.1
procps 2:4.0.4-9
psmisc 23.7-2
publicsuffix 20250328.1952-0.1
python-apt-common 3.0.0
python-babel-localedata 2.17.0-1
python3 3.13.5-1
python3-alabaster 0.7.16-0.1
python3-apt 3.0.0
python3-babel 2.17.0-1
python3-brlapi:amd64 6.7-3.1
python3-cairo 1.27.0-2
python3-certifi 2025.1.31+ds-1
python3-chardet 5.2.0+dfsg-2
python3-charset-normalizer 3.4.2-1
python3-dbus 1.4.0-1
python3-debconf 1.5.91
python3-debian 1.0.1
python3-debianbts 4.1.1
python3-defusedxml 0.7.1-3
python3-distro 1.9.0-1
python3-docutils 0.21.2+dfsg-2
python3-gi 3.50.0-4+b1
python3-idna 3.10-1
python3-imagesize 1.4.1-1
python3-jinja2 3.1.6-1
python3-louis 3.33.0-1
python3-markupsafe 2.1.5-1+b3
python3-minimal 3.13.5-1
python3-olefile 0.47-1
python3-packaging 25.0-1
python3-pil:amd64 11.1.0-5+b1
python3-pygments 2.18.0+dfsg-2
python3-reportbug 13.2.0
python3-requests 2.32.3+dfsg-5
python3-roman 5.0-1
python3-snowballstemmer 2.2.0-4
python3-speechd 0.12.0-5
python3-sphinx 8.1.3-5
python3-sphinx-rtd-theme 3.0.2+dfsg-2
python3-sphinxcontrib.jquery 4.1-5
python3-uno 4:25.2.3-2
python3-urllib3 2.3.0-3
python3-xdg 0.28-2
python3-yaml 6.0.2-1+b2
python3.13 3.13.5-2
python3.13-minimal 3.13.5-2
qemu-block-extra 1:10.0.2+ds-2+b1
qemu-system-common 1:10.0.2+ds-2+b1
qemu-system-data 1:10.0.2+ds-2
qemu-system-gui 1:10.0.2+ds-2+b1
qemu-system-modules-opengl 1:10.0.2+ds-2+b1
qemu-system-modules-spice 1:10.0.2+ds-2+b1
qemu-system-x86 1:10.0.2+ds-2+b1
qemu-user 1:10.0.2+ds-2+b1
qemu-user-binfmt 1:10.0.2+ds-2+b1
qemu-user-static 1:10.0.2+ds-2+b1
qemu-utils 1:10.0.2+ds-2+b1
qt5-gtk-platformtheme:amd64 5.15.15+dfsg-6
qt6-gtk-platformtheme:amd64 6.8.2+dfsg-9
qt6-qpa-plugins:amd64 6.8.2+dfsg-9
qt6-svg-plugins:amd64 6.8.2-3
qt6-translations-l10n 6.8.2-2
qt6-wayland:amd64 6.8.2-4
qttranslations5-l10n 5.15.15-2
qtwayland5:amd64 5.15.15-3
rake 13.2.1-1
readline-common 8.2-6
reportbug 13.2.0
rpcsvc-proto 1.4.3-1
rpm-common 4.20.1+dfsg-3
rpm2cpio 4.20.1+dfsg-3
rsyslog 8.2504.0-1
rtkit 0.13-5.1
ruby 1:3.3+b1
ruby-csv 3.3.4-1
ruby-did-you-mean 1.6.3-2
ruby-net-telnet 0.2.0-1
ruby-ruby2-keywords 0.0.5-1
ruby-rubygems 3.6.7-2
ruby-sdbm:amd64 1.0.0-5+b7
ruby-webrick 1.9.1-1
ruby-xmlrpc 0.3.3-2
ruby3.3 3.3.8-2
rubygems-integration 1.19
runit-helper 2.16.4
samba-libs:amd64 2:4.22.3+dfsg-4
sane-airscan 0.99.35-1
sane-utils 1.3.1-3+b1
seabios 1.16.3-2
sed 4.9-2
sensible-utils 0.0.25
sgml-base 1.31+nmu1
sgml-data 2.0.11+nmu1
shared-mime-info 2.4-5+b2
slirp4netns 1.2.1-1.1
sound-icons 0.1-8
sound-theme-freedesktop 0.8-4
speech-dispatcher 0.12.0-5
speech-dispatcher-audio-plugins:amd64 0.12.0-5
speech-dispatcher-espeak-ng 0.12.0-5
sphinx-common 8.1.3-5
sphinx-rtd-theme-common 3.0.2+dfsg-2
squid 6.13-2+deb13u1
squid-common 6.13-2+deb13u1
squid-langpack 20220130-1
sqv 1.3.0-3
sse3-support 27
ssl-cert 1.1.3
strace 6.13+ds-1
sudo 1.9.16p2-3
synaptic 0.91.7
systemd 257.7-1
systemd-sysv 257.7-1
systemd-timesyncd 257.7-1
sysvinit-utils 3.14-4
t1utils 1.41-4
tar 1.35+dfsg-3.1
task-chinese-s 3.81
task-chinese-s-desktop 3.81
task-desktop 3.81
task-laptop 3.81
task-mate-desktop 3.81
task-ssh-server 3.81
tasksel 3.81
tasksel-data 3.81
tcl 8.6.16
tcl8.6 8.6.16+dfsg-1
tcpdump 4.99.5-2
teckit 2.5.12+ds1-1+b1
tex-common 6.19
tex-gyre 20180621-6
texlive-base 2024.20250309-1
texlive-binaries 2024.20240313.70630+ds-6
texlive-fonts-recommended 2024.20250309-1
texlive-latex-base 2024.20250309-1
texlive-latex-extra 2024.20250309-2
texlive-latex-recommended 2024.20250309-1
texlive-pictures 2024.20250309-1
texlive-plain-generic 2024.20250309-2
texlive-xetex 2024.20250309-1
tigervnc-viewer 1.15.0+dfsg-2
timgm6mb-soundfont 1.3-5
tinyproxy 1.11.2-1
tinyproxy-bin 1.11.2-1
tipa 2:1.3-21
tk 8.6.16
tk8.6 8.6.16-1
traceroute 1:2.1.6-1
tzdata 2025b-4
ucf 3.0052
udev 257.7-1
udftools 2.3-2
udisks2 2.10.1-12.1
universal-ctags 5.9.20210829.0-2
uno-libs-private 4:25.2.3-2
unzip 6.0-29
update-inetd 4.53
upower 1.90.9-1
ure 4:25.2.3-2
usb-modeswitch 2.6.1-4+b2
usb-modeswitch-data 20191128-7
usb.ids 2025.07.26-1
usbmuxd 1.1.1-6
usbutils 1:018-2
util-linux 2.41-5
util-linux-extra 2.41-5
va-driver-all:amd64 2.22.0-3
vdpau-driver-all:amd64 1.5-3+b1
vim 2:9.1.1230-2
vim-common 2:9.1.1230-2
vim-runtime 2:9.1.1230-2
vim-tiny 2:9.1.1230-2
wamerican 2020.12.07-4
webp-pixbuf-loader:amd64 0.2.7-1+b1
wget 1.25.0-2
whiptail 0.52.25-1
wireless-regdb 2025.07.10-1
wireless-tools 30~pre9-18+b1
wireplumber 0.5.8-2
wpasupplicant 2:2.10-24
wtmpdb 0.73.0-3
x11-apps 7.7+11+b1
x11-common 1:7.7+24
x11-session-utils 7.7+6+b1
x11-utils 7.7+7
x11-xkb-utils 7.7+9
x11-xserver-utils 7.7+11
xauth 1:1.1.2-1.1
xbitmaps 1.1.1-2.2
xbrlapi 6.7-3.1
xcvt 0.1.3-1
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3+ds-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-2
xfonts-100dpi 1:1.0.5
xfonts-75dpi 1:1.0.5
xfonts-base 1:1.0.5+nmu1
xfonts-encodings 1:1.0.4-2.2
xfonts-scalable 1:1.0.3-1.3
xfonts-utils 1:7.7+7
xinit 1.4.2-1
xkb-data 2.42-1
xkbset 0.8-1
xml-core 0.19
xorg 1:7.7+24
xorg-docs-core 1:1.7.3-1
xorriso 1.5.6-1.2+b1
xserver-common 2:21.1.16-1.3
xserver-xorg 1:7.7+24
xserver-xorg-core 2:21.1.16-1.3
xserver-xorg-input-all 1:7.7+24
xserver-xorg-input-libinput 1.5.0-1
xserver-xorg-input-wacom 1.2.3-1
xserver-xorg-legacy 2:21.1.16-1.3
xserver-xorg-video-all 1:7.7+24
xserver-xorg-video-amdgpu 23.0.0-1
xserver-xorg-video-ati 1:22.0.0-1
xserver-xorg-video-fbdev 1:0.5.0-2
xserver-xorg-video-intel 2:2.99.917+git20210115-1
xserver-xorg-video-nouveau 1:1.0.18-1
xserver-xorg-video-qxl 0.1.6-1.1
xserver-xorg-video-radeon 1:22.0.0-1
xserver-xorg-video-vesa 1:2.6.0-2
xserver-xorg-video-vmware 1:13.4.0-1
xterm 398-1
xz-utils 5.8.1-1
yelp 42.2-4
yelp-xsl 42.1-4
zenity 4.1.90-1
zenity-common 4.1.90-1
zhcon 1:0.2.6-20
zhcon-data 1:0.2.6-20
zip 3.0-15
zlib1g:amd64 1:1.3.dfsg+really1.3.1-1+b1
zlib1g-dev:amd64 1:1.3.dfsg+really1.3.1-1+b1
zstd 1.5.7+dfsg-1
