7zip 24.09+dfsg-8
gstreamer1.0-libav:amd64 1.26.2-1
gstreamer1.0-plugins-bad:amd64 1.26.2-3
gstreamer1.0-plugins-base:amd64 1.26.2-1
gstreamer1.0-plugins-good:amd64 1.26.2-1
gstreamer1.0-plugins-ugly:amd64 1.26.3-4
gstreamer1.0-x:amd64 1.26.2-1
gtk-update-icon-cache 4.18.6+ds-2
gtk2-engines:amd64 1:2.20.2-8
gtk2-engines-murrine:amd64 0.98.2-4+b1
gtk2-engines-pixbuf:amd64 2.24.33-7
gvfs:amd64 1.57.2-2
gvfs-backends 1.57.2-2
gvfs-common 1.57.2-2
gvfs-daemons 1.57.2-2
gvfs-fuse 1.57.2-2
gvfs-libs:amd64 1.57.2-2
gzip 1.13-1
hicolor-icon-theme 0.18-2
hostname 3.25
htop 3.4.1-5
hunspell-en-us 1:2020.12.07-4
hyphen-en-us 2.8.8-7
i965-va-driver:amd64 2.4.1+dfsg1-2
ibverbs-providers:amd64 56.1-1
ifupdown 0.8.44
iio-sensor-proxy 3.7-3
im-config 0.57-2
imagemagick-7-common 8:7.1.1.43+dfsg1-1
inetutils-telnet 2:2.6-3
init 1.68
init-system-helpers 1.68
initramfs-tools 0.148.3
initramfs-tools-bin 0.148.3
initramfs-tools-core 0.148.3
installation-report 2.97
intel-media-va-driver:amd64 25.2.3+dfsg1-1
intel-microcode 3.20250512.1
ipp-usb 0.9.23-2+b7
iproute2 6.15.0-1
iptables 1.8.11-2
iptables-persistent 1.0.23
iputils-ping 3:20240905-3
ipxe-qemu 1.21.1+git20250501.dad20602+dfsg-1
isa-support:amd64 27
iso-codes 4.18.0-1
iucode-tool 2.3.1-3
iw 6.9-1
java-common 0.76
javascript-common 12+nmu1
kbd 2.7.1-2
keyboard-configuration 1.240
klibc-utils 2.0.14-1
kmod 34.2-2
krb5-locales 1.21.3-5
laptop-detect 0.16+nmu1
latexmk 1:4.86~ds-1
less 668-1
lib32gcc-s1 14.2.0-19
lib32stdc++6 14.2.0-19
